,Train Loss
0,0.07290162364187766
1,0.012946445860087202
2,0.008771938451672717
3,0.005664452160421839
4,0.004339732369452719
5,0.003813152960512469
6,0.0031577160716324557
7,0.0028922501959758903
8,0.0025750408271144184
9,0.002689225533066394
10,0.0022854851512180904
11,0.0021618829423515964
12,0.0021916425270316455
13,0.001975617200157772
14,0.001906480461230905
15,0.001821005907422053
16,0.0018102204228781125
17,0.0017034029627861099
18,0.0016824340005593657
19,0.0016251696460370545
