,Train Loss
0,0.20089582094693434
1,0.17902964656580217
2,0.1762222707656979
3,0.17474891807811305
4,0.17390273947097173
5,0.17338342487643332
6,0.17296484153603411
7,0.17261146301329233
8,0.1723933956100424
9,0.17214081584533408
10,0.1720249002569217
11,0.1718111476418475
12,0.17170177382685667
13,0.17159941465400524
14,0.1715168552551954
15,0.17142300765536922
16,0.17130843230443346
17,0.1712537770631368
18,0.17117291148066596
19,0.17113815665010682
20,0.17113911575795118
21,0.17098975910638115
22,0.17096066399601823
23,0.17097313501449324
24,0.17089159929977227
25,0.17085177473988694
26,0.17078911194526386
27,0.17080498234237387
28,0.17075104372491998
29,0.17073536321059382
30,0.17071774799562797
31,0.17070126719188775
32,0.17057345046949346
33,0.1706746943676743
34,0.1705906856514329
35,0.17055814261628488
36,0.17058413183277346
37,0.1705122287296218
38,0.17052314047787068
39,0.17047514429908836
40,0.17050116580736133
41,0.17045014906867262
42,0.17046507861634996
43,0.1703948898160137
44,0.17040261307667215
45,0.17037214648213234
46,0.17036998633453335
47,0.17033600667853818
48,0.17035970511469758
49,0.17033489455149514
